 Deff   Wavelength   Qext              Qabs              Qsca              Albedo            Parea             Volume            Gfactor
   10    2.4390000	 2.5527246000e+00  6.3961856100e-02  2.4887627439e+00  9.7494369111e-01  5.6478466000e+01  3.7649151600e+02  8.2191565944e-01
   10    2.4690000	 2.5873029200e+00  7.8891657300e-02  2.5084112627e+00  9.6950814816e-01  5.6478466000e+01  3.7649151600e+02  8.2974437959e-01
   10    2.5000000	 2.6207506700e+00  9.3569517100e-02  2.5271811529e+00  9.6429667340e-01  5.6478466000e+01  3.7649151600e+02  8.3660450696e-01
   10    2.5060000	 2.6284346600e+00  9.5552384900e-02  2.5328822751e+00  9.6364665770e-01  5.6478466000e+01  3.7649154700e+02  8.3814344055e-01
   10    2.5130000	 2.6367828800e+00  9.7476944300e-02  2.5393059357e+00  9.6303186545e-01  5.6478466000e+01  3.7649154700e+02  8.3972117531e-01
   10    2.5190000	 2.6491909000e+00  9.9276639500e-02  2.5499142605e+00  9.6252567548e-01  5.6478466000e+01  3.7649154700e+02  8.4243041402e-01
   10    2.5250000	 2.6572556500e+00  9.9822506300e-02  2.5574331437e+00  9.6243398474e-01  5.6478466000e+01  3.7649154700e+02  8.4388252117e-01
   10    2.5320000	 2.6659700900e+00  1.0077966000e-01  2.5651904300e+00  9.6219775294e-01  5.6478466000e+01  3.7649154700e+02  8.4540617633e-01
   10    2.5380000	 2.6741950500e+00  1.0131195900e-01  2.5728830910e+00  9.6211497026e-01  5.6478466000e+01  3.7649151600e+02  8.4686363892e-01
   10    2.5450000	 2.6878955400e+00  1.0210473800e-01  2.5857908020e+00  9.6201313017e-01  5.6478466000e+01  3.7649151600e+02  8.4956682518e-01
   10    2.5510000	 2.7011809300e+00  1.0337120300e-01  2.5978097270e+00  9.6173110736e-01  5.6478466000e+01  3.7649151600e+02  8.5226473798e-01
   10    2.5580000	 2.7102139000e+00  1.0517452700e-01  2.6050393730e+00  9.6119327445e-01  5.6478466000e+01  3.7649154700e+02  8.5384888583e-01
   10    2.5640000	 2.7237873100e+00  1.0596177000e-01  2.6178255400e+00  9.6109763431e-01  5.6478466000e+01  3.7649151600e+02  8.5651162823e-01
   10    2.5710000	 2.7329647500e+00  1.0728932200e-01  2.6256754280e+00  9.6074251525e-01  5.6478466000e+01  3.7649151600e+02  8.5805848494e-01
   10    2.5770000	 2.7518920900e+00  1.0789589600e-01  2.6439961940e+00  9.6079210504e-01  5.6478466000e+01  3.7649151600e+02  8.6188122070e-01
   10    2.5840000	 2.7663183200e+00  1.0946966000e-01  2.6568486600e+00  9.6042767052e-01  5.6478466000e+01  3.7649154700e+02  8.6460598074e-01
   10    2.5910000	 2.7755940000e+00  1.1074896900e-01  2.6648450310e+00  9.6009900259e-01  5.6478466000e+01  3.7649154700e+02  8.6612604060e-01
   10    2.5970000	 2.7894408700e+00  1.1232218100e-01  2.6771186890e+00  9.5973308407e-01  5.6478466000e+01  3.7649154700e+02  8.6878483909e-01
   10    2.6040000	 2.8089032200e+00  1.1535875500e-01  2.6935444650e+00  9.5893103252e-01  5.6478466000e+01  3.7649151600e+02  8.7269976642e-01
   10    2.6110000	 2.8280050800e+00  1.2000630100e-01  2.7079987790e+00  9.5756503344e-01  5.6478466000e+01  3.7649154700e+02  8.7665143494e-01
   10    2.6180000	 2.8408017200e+00  1.3091009900e-01  2.7098916210e+00  9.5391790350e-01  5.6478462200e+01  3.7649151600e+02  8.7974302516e-01
   10    2.6250000	 2.8580231700e+00  1.4296253000e-01  2.7150606400e+00  9.4997852659e-01  5.6478466000e+01  3.7649151600e+02  8.8394420838e-01
   10    2.6320000	 2.8718283200e+00  1.7028310900e-01  2.7015452110e+00  9.4070567944e-01  5.6478466000e+01  3.7649151600e+02  8.8879316343e-01
   10    2.6390000	 2.8871221500e+00  1.8248918700e-01  2.7046329630e+00  9.3679201034e-01  5.6478462200e+01  3.7649151600e+02  8.9276760285e-01
   10    2.6460000	 2.9006538400e+00  1.9803634300e-01  2.7026174970e+00  9.3172699883e-01  5.6478466000e+01  3.7649154700e+02  8.9678376074e-01
